osm_id,osm_type,name,highway,place,mean_dynamic_risk,max_dynamic_risk,high_or_worse_fraction,risk_category,priority
229795718,way,,tertiary,,,,0.0,NO DATA,NO DATA
229795725,way,,tertiary,,,,0.0,NO DATA,NO DATA
229795728,way,,tertiary,,0.14778497256338596,0.2572972774505615,0.0,MODERATE,LOW
230475092,way,,tertiary,,,,0.0,NO DATA,NO DATA
230988098,way,,tertiary,,,,0.0,NO DATA,NO DATA
230988105,way,,unclassified,,,,0.0,NO DATA,NO DATA
230988110,way,,unclassified,,,,0.0,NO DATA,NO DATA
230988114,way,,unclassified,,,,0.0,NO DATA,NO DATA
230988118,way,,unclassified,,,,0.0,NO DATA,NO DATA
230988120,way,,unclassified,,,,0.0,NO DATA,NO DATA
230988124,way,,tertiary,,,,0.0,NO DATA,NO DATA
230988125,way,,tertiary,,,,0.0,NO DATA,NO DATA
230988126,way,,unclassified,,,,0.0,NO DATA,NO DATA
231362428,way,,trunk,,,,0.0,NO DATA,NO DATA
231362430,way,,trunk,,,,0.0,NO DATA,NO DATA
231362437,way,,unclassified,,,,0.0,NO DATA,NO DATA
231362447,way,,unclassified,,,,0.0,NO DATA,NO DATA
231362449,way,,unclassified,,,,0.0,NO DATA,NO DATA
231362452,way,,unclassified,,,,0.0,NO DATA,NO DATA
231362454,way,,unclassified,,,,0.0,NO DATA,NO DATA
231362457,way,,unclassified,,,,0.0,NO DATA,NO DATA
231362458,way,,unclassified,,,,0.0,NO DATA,NO DATA
231362462,way,,unclassified,,,,0.0,NO DATA,NO DATA
231362464,way,,unclassified,,,,0.0,NO DATA,NO DATA
231362467,way,,unclassified,,,,0.0,NO DATA,NO DATA
231362471,way,,unclassified,,,,0.0,NO DATA,NO DATA
231362472,way,,unclassified,,,,0.0,NO DATA,NO DATA
231362473,way,,unclassified,,0.2700977176427841,0.38608840107917786,0.0,ELEVATED,MODERATE
231362474,way,,unclassified,,,,0.0,NO DATA,NO DATA
231406408,way,,tertiary,,0.10360515862703323,0.10360515862703323,0.0,LOW,LOW
231406409,way,,unclassified,,,,0.0,NO DATA,NO DATA
231406410,way,,tertiary,,,,0.0,NO DATA,NO DATA
231406415,way,,unclassified,,,,0.0,NO DATA,NO DATA
