osm_id,osm_type,name,highway,place,dynamic_risk,risk_category,priority
245729844,node,Khaddum,,hamlet,0.09357043355703354,LOW,LOW
245730192,node,Sibbari,,village,0.011988839134573936,LOW,LOW
245730713,node,Burengapara,,village,0.3741077482700348,ELEVATED,MODERATE
245731637,node,Sutnga,,village,0.10167547315359116,LOW,LOW
245732730,node,Langkyrdem,,village,0.2948720455169678,MODERATE,LOW
245733093,node,Laitmawsiang,,village,0.3209390342235565,MODERATE,LOW
245734409,node,Adugiri,,village,0.05463467538356781,LOW,LOW
245734694,node,Mairang,,village,0.589644193649292,HIGH,HIGH
245734988,node,Barato,,village,0.11272165179252625,LOW,LOW
245735667,node,Nartiang,,village,0.323713481426239,MODERATE,LOW
245736092,node,Samanda,,village,0.08226358890533447,LOW,LOW
245736242,node,Asananggiri,,village,0.4640680253505707,ELEVATED,MODERATE
245736665,node,Rambrei,,village,0.7277863025665283,VERY HIGH,VERY HIGH
245736680,node,Cherano,,village,0.085848368704319,LOW,LOW
245737555,node,Umroi,,village,0.23904527723789215,MODERATE,LOW
245737700,node,Hatsinigmari,,village,,NO DATA,NO DATA
245737768,node,Dambu,,village,0.1095566377043724,LOW,LOW
245738741,node,Bangsi,,village,0.597930371761322,HIGH,HIGH
245739251,node,Kseh Kyntang,,village,0.1082492470741272,LOW,LOW
245739605,node,Mynser,,hamlet,0.07662128657102585,LOW,LOW
245739851,node,Bajengdoba,,village,,NO DATA,NO DATA
245739886,node,Phulbari,,village,,NO DATA,NO DATA
245740851,node,Loharghat,,village,,NO DATA,NO DATA
245742016,node,Chhaygaon,,village,,NO DATA,NO DATA
245742069,node,Baida,,village,,NO DATA,NO DATA
245742364,node,Krishnai,,village,,NO DATA,NO DATA
566672796,node,Myrdon,,village,0.46222054958343506,ELEVATED,MODERATE
664138126,node,Umsning,,village,0.2648467719554901,MODERATE,LOW
746995482,node,Barapani,,village,0.1384136825799942,LOW,LOW
830103865,node,Dawki,,village,0.13546639680862427,LOW,LOW
1262013875,node,Rngat,,village,0.08805285394191742,LOW,LOW
