elevation,slope,aspect,curvature,landcover_class,latitude,longitude,district,initiation_year,triggering,label
341.06951904296875,30.859878540039062,89.01174926757812,-0.0076367598958313465,10,25.972964,91.858336,Ri-Bhoi,2012,Heavy rainfall,1
329.13165283203125,13.61084270477295,34.88936996459961,0.005720599554479122,10,25.95847,91.85406,Ri-Bhoi,0,,1
349.1405334472656,26.029342651367188,328.7524719238281,0.007220603059977293,10,25.958886,91.851242,Ri-Bhoi,2015,Heavy rainfall,1
398.0147399902344,22.99945640563965,324.197509765625,-0.0006633162265643477,10,25.956781,91.852883,Ri-Bhoi,2015,Heavy rainfall,1
400.3366394042969,8.869291305541992,258.50396728515625,0.002324603032320738,10,25.956333,91.85725,Ri-Bhoi,2015,Heavy rainfall,1
305.8577575683594,21.421947479248047,325.7652893066406,0.002692097332328558,10,25.96,91.857,Ri-Bhoi,2015,Heavy rainfall,1
560.1215209960938,14.161623001098633,38.8421516418457,0.001846940373070538,10,25.937,91.87553,Ri-Bhoi,0,,1
590.7936401367188,15.596442222595215,224.03778076171875,-0.0033149602822959423,10,25.927972,91.877194,Ri-Bhoi,2015,Heavy rainfall,1
590.7936401367188,15.596442222595215,224.03778076171875,-0.0033149602822959423,10,25.92792,91.87717,Ri-Bhoi,0,,1
418.6340637207031,16.393754959106445,197.46548461914062,-0.00227903900668025,10,25.954889,91.858667,Ri-Bhoi,2016,Heavy rainfall,1
275.98358154296875,23.601835250854492,292.3914794921875,0.004032659810036421,10,25.935708,91.714556,Ri-Bhoi,2016,Rainfall,1
293.1872253417969,22.753265380859375,275.9820861816406,-0.0003485358611214906,10,25.934889,91.714389,Ri-Bhoi,2016,Rainfall,1
314.2362976074219,14.608906745910645,242.61123657226562,-0.0018334967317059636,10,25.940978,91.724644,Ri-Bhoi,2016,Rainfall,1
1395.5848388671875,9.660223007202148,6.103496074676514,-0.0026413903106004,10,25.660333,91.635083,West Khasi Hills,2016,Rainfall,1
1381.906982421875,10.176188468933105,31.713815689086914,-0.0013128217542544007,30,25.660539,91.635431,West Khasi Hills,2016,Rainfall,1
1127.67626953125,28.522756576538086,67.30442810058594,0.004874862264841795,10,25.687431,91.648322,West Khasi Hills,2016,Rainfall,1
1120.5916748046875,24.793107986450195,33.030662536621094,0.012442518025636673,10,25.687056,91.6485,West Khasi Hills,2016,Rainfall,1
1096.2694091796875,16.992704391479492,317.0937194824219,0.01125405728816986,10,25.687083,91.650858,West Khasi Hills,2016,Rainfall,1
1040.1409912109375,18.04319190979004,343.7548828125,0.006579993758350611,10,25.687442,91.656183,West Khasi Hills,2016,Rainfall,1
